2000 to 2010 Demographic Change Profile,NYC Census FactFinder,,,
Selected Tract(s): Brooklyn 164,,,,
Demographic Change,2000,2010,"Change, 2000-2010",
,Number,Number,Number,Percent
RACE/HISPANIC ORIGIN,,,,
Total population,"1,173",764,-409,-34.9%
White nonhispanic,307,239,-68,-22.1%
Black/African American nonhispanic,449,188,-261,-58.1%
Asian nonhispanic,33,47,14,42.4%
Some other race nonhispanic,5,17,12,240.0%
Nonhispanic of two or more races,15,29,14,93.3%
Hispanic origin,364,244,-120,-33.0%
,,,,
SEX AND AGE,,,,
Female,575,374,-201,-35.0%
Male,598,390,-208,-34.8%
,,,,
Under 5 years,135,115,-20,-14.8%
5 to 9 years,141,91,-50,-35.5%
10 to 14 years,120,61,-59,-49.2%
15 to 19 years,61,46,-15,-24.6%
20 to 24 years,70,37,-33,-47.1%
25 to 29 years,124,102,-22,-17.7%
30 to 34 years,160,72,-88,-55.0%
35 to 39 years,171,78,-93,-54.4%
40 to 44 years,93,60,-33,-35.5%
45 to 49 years,53,36,-17,-32.1%
50 to 54 years,24,23,-1,-4.2%
55 to 59 years,8,19,11,137.5%
60 to 64 years,5,9,4,80.0%
65 to 69 years,1,8,7,700.0%
70 to 74 years,2,3,1,50.0%
75 to 79 years,0,1,1,
80 to 84 years,2,1,-1,-50.0%
85 years and over,3,2,-1,-33.3%
,,,,
Median age (years),28.1,27.1,-1.0,-3.6%
,,,,
18 years and over,740,467,-273,-36.9%
21 years and over,703,446,-257,-36.6%
62 years and over,11,20,9,81.8%
65 years and over,8,15,7,87.5%
Female,5,9,4,80.0%
Male,3,6,3,100.0%
,,,,
SELECTED ASIAN SUBGROUPS,,,,
Asian alone or in combination,52,62,10,19.2%
Total Asian only,45,52,7,15.6%
Asian Indian,3,0,-3,
Bangladeshi,0,8,8,
Cambodian,0,0,0,
Chinese,16,2,-14,-87.5%
Filipino,10,21,11,110.0%
Indonesian,0,0,0,
Japanese,2,4,2,100.0%
Korean,9,7,-2,-22.2%
Malaysian,0,0,0,
Pakistani,0,4,4,
Sri Lankan,0,0,0,
Thai,0,2,2,
Vietnamese,1,0,-1,
Other Asian and 2 or more Asian categories,5,4,-1,-20.0%
Asian in combination with another race,7,10,3,42.9%
,,,,
SELECTED HISPANIC SUBGROUPS,,,,
Total Hispanic,350,244,-106,-30.3%
Mexican,19,30,11,57.9%
Puerto Rican,199,148,-51,-25.6%
Cuban,5,5,0,0.0%
Dominican,25,26,1,4.0%
Central American,23,18,-5,-21.7%
