,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
18.0,5.0,1.0,0.0,17.0,176.0,295.0,310.0,241.0,171.0,115.0,57.0,32.0,14.0,5.0,1.0,1.0,0.0,1.0
20.0,142.0,137.0,108.0,137.0,168.0,164.0,155.0,113.0,121.0,79.0,65.0,44.0,37.0,38.0,36.0,9.0,9.0,12.0
22.0,307.0,298.0,273.0,291.0,313.0,333.0,327.0,312.0,288.0,272.0,222.0,168.0,157.0,129.0,172.0,124.0,89.0,165.0
30.0,130.0,116.0,102.0,80.0,118.0,149.0,143.0,147.0,162.0,140.0,129.0,96.0,85.0,85.0,63.0,65.0,23.0,40.0
34.0,167.0,137.0,123.0,129.0,132.0,224.0,288.0,253.0,229.0,221.0,209.0,162.0,131.0,119.0,122.0,104.0,74.0,70.0
36.0,186.0,163.0,181.0,190.0,211.0,310.0,384.0,338.0,328.0,335.0,310.0,208.0,198.0,154.0,163.0,130.0,83.0,68.0
38.0,85.0,76.0,81.0,70.0,75.0,124.0,161.0,131.0,131.0,135.0,107.0,98.0,75.0,67.0,66.0,55.0,34.0,36.0
44.0,133.0,129.0,166.0,142.0,129.0,134.0,152.0,197.0,202.0,178.0,193.0,176.0,128.0,133.0,136.0,116.0,82.0,64.0
46.0,65.0,86.0,92.0,83.0,70.0,69.0,65.0,65.0,116.0,89.0,77.0,72.0,60.0,52.0,62.0,49.0,25.0,20.0
50.0,133.0,91.0,110.0,101.0,102.0,167.0,238.0,230.0,188.0,163.0,205.0,130.0,121.0,101.0,96.0,85.0,62.0,78.0
51.0,113.0,95.0,83.0,76.0,136.0,339.0,269.0,222.0,194.0,125.0,131.0,90.0,56.0,46.0,34.0,42.0,23.0,19.0
52.01,49.0,55.0,34.0,24.0,38.0,70.0,93.0,120.0,89.0,89.0,88.0,93.0,94.0,142.0,175.0,176.0,161.0,191.0
52.02,100.0,63.0,63.0,75.0,116.0,188.0,251.0,210.0,182.0,175.0,199.0,142.0,153.0,127.0,116.0,133.0,88.0,72.0
54.0,138.0,116.0,110.0,96.0,151.0,359.0,342.0,271.0,254.0,255.0,247.0,196.0,139.0,147.0,124.0,110.0,71.0,79.0
56.01,126.0,90.0,53.0,66.0,92.0,224.0,265.0,218.0,197.0,191.0,204.0,132.0,139.0,114.0,137.0,105.0,74.0,88.0
56.02,63.0,32.0,36.0,37.0,79.0,180.0,167.0,163.0,152.0,127.0,103.0,82.0,80.0,58.0,61.0,44.0,32.0,27.0
58.0,167.0,141.0,106.0,134.0,230.0,348.0,389.0,292.0,268.0,208.0,216.0,167.0,144.0,143.0,118.0,114.0,65.0,58.0
60.0,204.0,179.0,122.0,171.0,209.0,359.0,271.0,252.0,201.0,194.0,156.0,101.0,120.0,101.0,96.0,75.0,51.0,45.0
62.0,236.0,187.0,148.0,144.0,175.0,302.0,305.0,281.0,242.0,196.0,165.0,141.0,118.0,99.0,108.0,86.0,61.0,68.0
64.0,189.0,206.0,168.0,172.0,210.0,355.0,339.0,289.0,290.0,253.0,202.0,169.0,137.0,140.0,132.0,84.0,81.0,68.0
66.0,194.0,206.0,174.0,192.0,226.0,357.0,382.0,338.0,262.0,223.0,224.0,192.0,183.0,142.0,113.0,98.0,43.0,82.0
