,Total population,White nonhispanic,Black/African American nonhispanic,Asian nonhispanic,Some other race nonhispanic,Nonhispanic of two or more races,Hispanic origin
18.0,1442.0,292.0,327.0,58.0,13.0,43.0,709.0
20.0,1574.0,66.0,113.0,64.0,17.0,13.0,1301.0
22.0,4240.0,836.0,220.0,502.0,35.0,134.0,2513.0
30.0,1873.0,1324.0,39.0,222.0,7.0,49.0,232.0
34.0,2894.0,2176.0,18.0,329.0,5.0,91.0,275.0
36.0,3940.0,2912.0,43.0,444.0,17.0,84.0,440.0
38.0,1607.0,1385.0,3.0,82.0,4.0,44.0,89.0
44.0,2590.0,2304.0,14.0,146.0,5.0,39.0,82.0
46.0,1217.0,1076.0,1.0,43.0,2.0,24.0,71.0
50.0,2401.0,2075.0,6.0,146.0,2.0,57.0,115.0
51.0,2093.0,1098.0,133.0,163.0,15.0,103.0,581.0
52.01,1781.0,1598.0,9.0,78.0,3.0,13.0,80.0
52.02,2453.0,2186.0,6.0,76.0,8.0,67.0,110.0
54.0,3205.0,2499.0,12.0,280.0,13.0,131.0,270.0
56.01,2515.0,2111.0,22.0,107.0,6.0,82.0,187.0
56.02,1523.0,1227.0,4.0,123.0,8.0,48.0,113.0
58.0,3308.0,2344.0,15.0,396.0,14.0,191.0,348.0
60.0,2907.0,1786.0,12.0,403.0,5.0,260.0,441.0
62.0,3062.0,2042.0,14.0,379.0,8.0,247.0,372.0
64.0,3484.0,2514.0,51.0,305.0,17.0,270.0,327.0
66.0,3631.0,2570.0,19.0,374.0,28.0,176.0,464.0
68.0,4781.0,2426.0,75.0,853.0,39.0,340.0,1048.0
70.0,2549.0,1444.0,130.0,385.0,15.0,139.0,436.0
72.0,1858.0,226.0,37.0,456.0,13.0,115.0,1011.0
74.0,5330.0,320.0,105.0,1272.0,40.0,73.0,3520.0
75.0,4454.0,3288.0,111.0,145.0,42.0,171.0,697.0
76.0,4440.0,419.0,64.0,488.0,21.0,98.0,3350.0
78.0,5018.0,316.0,171.0,309.0,50.0,92.0,4080.0
80.0,4360.0,321.0,130.0,296.0,49.0,101.0,3463.0
82.0,4072.0,406.0,164.0,253.0,35.0,86.0,3128.0
90.0,2533.0,391.0,47.0,488.0,39.0,60.0,1508.0
94.0,4855.0,1494.0,51.0,1677.0,100.0,237.0,1296.0
96.0,5900.0,643.0,135.0,610.0,44.0,153.0,4315.0
98.0,6121.0,493.0,87.0,1238.0,39.0,128.0,4136.0
100.0,6271.0,778.0,159.0,1909.0,30.0,268.0,3127.0
102.0,4616.0,942.0,36.0,1938.0,10.0,139.0,1551.0
104.0,5530.0,948.0,43.0,3798.0,16.0,156.0,569.0
106.0,5460.0,636.0,61.0,3639.0,27.0,120.0,977.0
108.0,4773.0,962.0,44.0,2385.0,27.0,154.0,1201.0
110.0,2017.0,349.0,60.0,631.0,30.0,48.0,899.0
114.0,4116.0,2496.0,176.0,588.0,139.0,120.0,597.0
116.0,4259.0,1194.0,39.0,2347.0,33.0,145.0,501.0
118.0,2009.0,443.0,10.0,1221.0,2.0,48.0,285.0
120.0,1253.0,158.0,2.0,781.0,5.0,66.0,241.0
122.0,5045.0,920.0,73.0,1454.0,17.0,202.0,2379.0
126.0,2522.0,1104.0,30.0,632.0,20.0,156.0,580.0
128.01,2006.0,951.0,10.0,784.0,10.0,79.0,172.0
130.0,4733.0,2644.0,36.0,786.0,26.0,362.0,879.0
132.0,2165.0,1275.0,5.0,405.0,17.0,167.0,296.0
134.0,3890.0,2794.0,11.0,397.0,24.0,207.0,457.0
136.0,3924.0,2797.0,21.0,404.0,44.0,243.0,415.0
138.0,3206.0,2337.0,7.0,353.0,10.0,169.0,330.0
140.0,2012.0,1641.0,3.0,123.0,10.0,51.0,184.0
142.0,3238.0,2249.0,19.0,367.0,13.0,225.0,365.0
148.0,1222.0,1161.0,0.0,32.0,1.0,5.0,23.0
150.0,1564.0,1469.0,0.0,41.0,1.0,20.0,33.0
152.0,2240.0,1742.0,14.0,238.0,4.0,93.0,149.0
160.0,4246.0,2358.0,127.0,758.0,29.0,264.0,710.0
162.0,1886.0,1408.0,12.0,233.0,14.0,64.0,155.0
164.0,1173.0,307.0,449.0,33.0,5.0,15.0,364.0
166.0,2042.0,1960.0,1.0,30.0,1.0,13.0,37.0
168.0,1425.0,1275.0,0.0,58.0,1.0,58.0,33.0
170.0,2882.0,2181.0,5.0,374.0,13.0,102.0,207.0
172.0,2892.0,2024.0,1.0,606.0,10.0,74.0,177.0
174.0,1751.0,1325.0,7.0,269.0,8.0,57.0,85.0
176.0,2239.0,1517.0,13.0,358.0,8.0,88.0,255.0
178.0,2579.0,1449.0,11.0,735.0,6.0,107.0,271.0
180.0,2803.0,1856.0,12.0,524.0,6.0,144.0,261.0
182.0,3039.0,1812.0,5.0,961.0,9.0,51.0,201.0
184.0,1977.0,1523.0,4.0,394.0,0.0,12.0,44.0
186.0,1848.0,1379.0,0.0,354.0,5.0,26.0,84.0
188.0,2615.0,1908.0,0.0,512.0,4.0,31.0,160.0
190.0,4595.0,2311.0,15.0,1404.0,8.0,187.0,670.0
192.0,2320.0,1245.0,17.0,560.0,14.0,97.0,387.0
194.0,3070.0,1287.0,6.0,1187.0,5.0,158.0,427.0
196.0,3849.0,2374.0,16.0,808.0,9.0,158.0,484.0
198.0,1710.0,1485.0,8.0,53.0,1.0,19.0,144.0
200.0,1940.0,1605.0,0.0,131.0,9.0,49.0,146.0
202.0,1758.0,1473.0,1.0,178.0,1.0,51.0,54.0
204.0,1960.0,1769.0,2.0,84.0,7.0,24.0,74.0
206.0,2192.0,1749.0,6.0,183.0,4.0,96.0,154.0
208.0,2657.0,1809.0,10.0,514.0,0.0,90.0,234.0
210.0,3307.0,2017.0,8.0,864.0,5.0,136.0,277.0
212.0,3638.0,1526.0,8.0,1501.0,16.0,226.0,361.0
214.0,1811.0,1070.0,8.0,475.0,2.0,31.0,225.0
216.0,3601.0,2976.0,4.0,325.0,35.0,78.0,183.0
218.0,3785.0,3162.0,6.0,136.0,82.0,85.0,314.0
220.0,4452.0,3481.0,23.0,229.0,167.0,297.0,255.0
221.0,3928.0,73.0,3320.0,22.0,34.0,81.0,398.0
222.0,4719.0,3902.0,66.0,190.0,44.0,88.0,429.0
228.0,3426.0,1633.0,123.0,789.0,47.0,123.0,711.0
230.0,4176.0,2893.0,27.0,225.0,35.0,50.0,946.0
232.0,6059.0,4914.0,16.0,372.0,113.0,134.0,510.0
234.0,4710.0,4580.0,0.0,7.0,21.0,58.0,44.0
236.0,5222.0,4887.0,3.0,131.0,92.0,74.0,35.0
238.0,4470.0,4107.0,8.0,115.0,28.0,111.0,101.0
240.0,4634.0,4316.0,11.0,39.0,21.0,80.0,167.0
242.0,2808.0,2449.0,6.0,189.0,10.0,12.0,142.0
244.0,3069.0,2420.0,13.0,292.0,20.0,76.0,248.0
246.0,2911.0,1881.0,2.0,784.0,25.0,93.0,126.0
248.0,2448.0,1437.0,5.0,801.0,5.0,57.0,143.0
250.0,1532.0,606.0,0.0,740.0,2.0,81.0,103.0
252.0,4654.0,2806.0,6.0,1104.0,13.0,200.0,525.0
254.0,3379.0,1651.0,4.0,1360.0,9.0,107.0,248.0
256.0,2956.0,1658.0,2.0,1107.0,5.0,57.0,127.0
258.0,4329.0,2866.0,15.0,934.0,4.0,104.0,406.0
260.0,3463.0,2044.0,5.0,1103.0,9.0,118.0,184.0
262.0,2364.0,1379.0,2.0,731.0,0.0,39.0,213.0
264.0,4440.0,2609.0,6.0,1113.0,19.0,150.0,543.0
266.0,3399.0,2121.0,6.0,826.0,5.0,121.0,320.0
268.0,4017.0,3063.0,12.0,543.0,16.0,68.0,315.0
270.0,2337.0,1901.0,4.0,279.0,7.0,59.0,87.0
272.0,3449.0,2370.0,5.0,732.0,20.0,74.0,248.0
274.0,2885.0,2067.0,6.0,601.0,7.0,75.0,129.0
276.0,3331.0,2153.0,5.0,734.0,13.0,74.0,352.0
278.0,2758.0,1935.0,15.0,408.0,16.0,159.0,225.0
280.0,1685.0,1043.0,29.0,445.0,7.0,38.0,123.0
282.0,2890.0,1970.0,11.0,669.0,2.0,58.0,180.0
284.0,3826.0,2520.0,6.0,631.0,19.0,166.0,484.0
286.0,4984.0,3440.0,81.0,836.0,13.0,225.0,389.0
288.0,3503.0,1945.0,11.0,980.0,12.0,80.0,475.0
290.0,3802.0,2673.0,18.0,592.0,30.0,124.0,365.0
292.0,2442.0,1599.0,25.0,450.0,4.0,53.0,311.0
294.0,2351.0,1509.0,43.0,528.0,9.0,69.0,193.0
296.0,5343.0,3746.0,19.0,856.0,16.0,112.0,594.0
298.0,3355.0,2329.0,7.0,554.0,13.0,87.0,365.0
421.0,3481.0,60.0,667.0,58.0,17.0,21.0,2658.0
428.0,3655.0,2674.0,17.0,632.0,2.0,44.0,286.0
430.0,3291.0,2238.0,14.0,695.0,6.0,35.0,303.0
432.0,3860.0,2088.0,15.0,1059.0,1.0,65.0,632.0
