,census tract,total,White,   Black/ African American,     American Indian and Alaska Native,      Asian,Native Hawaiian and Other Pacific Islander,  Some Other Race,Two or More Races,Hispanic Origin (of any race)
Brooklyn,000100,522,382,28,0,35,0,10,21,46
Brooklyn,000200,455,11,17,0,9,0,1,2,415
Brooklyn,000301,619,485,12,1,26,0,6,57,32
Brooklyn,000501,395,305,10,0,20,0,2,27,31
Brooklyn,000502,254,182,6,1,9,0,4,27,25
Brooklyn,000700,533,389,11,0,29,0,4,50,50
Brooklyn,000900,469,283,20,0,42,0,9,62,53
Brooklyn,001100,11,2,1,0,3,0,0,0,5
Brooklyn,001300,155,91,18,1,24,0,0,7,14
Brooklyn,001500,604,83,196,2,74,0,1,20,228
Brooklyn,001800,3,0,1,0,0,0,0,0,2
Brooklyn,002000,476,10,6,3,20,0,1,3,433
Brooklyn,002100,587,423,5,0,53,0,7,56,43
Brooklyn,002200,982,68,29,4,81,0,7,20,773
Brooklyn,002300,"1,203",8,640,5,146,0,5,18,381
Brooklyn,002901,999,15,502,3,103,0,0,20,356
Brooklyn,003000,362,194,9,0,47,0,0,30,82
Brooklyn,003100,167,15,78,0,31,0,1,24,18
Brooklyn,003300,318,101,99,0,10,0,8,31,69
Brooklyn,003400,547,306,0,0,102,0,0,26,113
Brooklyn,003500,200,47,97,4,7,0,0,11,34
Brooklyn,003600,625,330,7,0,137,0,3,26,122
Brooklyn,003700,39,16,6,0,0,0,0,11,6
Brooklyn,003800,236,157,2,0,32,0,3,13,29
Brooklyn,003900,287,136,26,0,25,0,3,24,73
Brooklyn,004100,536,348,35,0,35,0,6,37,75
Brooklyn,004300,401,235,23,1,31,0,5,34,72
Brooklyn,004400,431,368,1,0,32,0,0,2,28
Brooklyn,004500,525,423,7,0,15,0,4,31,45
Brooklyn,004600,269,210,5,0,22,0,2,1,29
Brooklyn,004700,318,152,29,2,19,0,4,37,75
Brooklyn,004900,379,262,16,0,21,0,4,23,53
Brooklyn,005000,420,343,0,0,25,0,1,10,41
Brooklyn,005100,368,196,15,0,25,0,1,28,103
