,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0-4,544038,556367,564189,584257,592905,575823,565649,575742,580330,517724,534206,544892,555929,567546
42469,544634,531773,518419,509847,504348,516722,499273,519022,526440,473159,476997,482213,482699,482871
42657,538525,544045,539203,535694,526507,526162,507573,498542,475648,468154,464675,464739,463561,466544
15-19,500189,490754,489372,489703,506781,541378,548635,551139,516709,535833,507082,496237,481409,474154
20-24,581199,569357,557085,543486,537097,564676,578365,580628,560258,642585,644009,646005,631907,625272
25-29,665884,656472,636927,624764,622038,593361,600008,597650,724036,730190,744521,756643,768622,785587
30-34,701855,709273,693687,688045,665087,648712,652812,643340,702385,662255,679773,694963,710767,720310
35-39,670660,673009,664755,660040,662253,666118,677565,675694,629370,587407,580635,587468,599648,611611
40-44,617613,623609,629691,635739,635390,636738,641609,643889,599342,567280,570739,574299,571888,569935
45-49,543744,551371,565189,573051,583700,594520,604636,614902,601866,565692,562350,560192,557970,556047
50-54,498147,499437,504310,508663,514183,524965,538107,552696,554133,541684,546030,547728,554523,561075
55-59,387953,400225,420188,438166,459677,476431,475283,483987,489884,475535,488048,501130,512957,523052
60-64,320496,325852,334697,340013,343799,350488,371967,388605,413925,414477,433651,434872,439771,448207
65+,947090,952772,968030,972611,989432,998332,1013045,1037874,1017555,993158,1012194,1045316,1074186,1098868
