,2010 Census Tract,Total Population    21 Years    and Under,Under 1 Year,1 & 2 Years,3 & 4 Years,5 Years,6 Years,7 to 9 Years,10 & 11 Years,12 & 13 Years,14 Years,15 Years,16 Years,17 Years,18 Years,19 Years,20 Years,21 Years
Brooklyn,1.0,586,49,95,67,35,31,80,50,40,10,25,12,28,11,19,19,15
Brooklyn,2.0,589,27,56,66,36,32,57,49,33,17,25,26,31,22,35,38,39
Brooklyn,3.01,685,68,116,112,36,31,97,42,38,16,21,19,23,17,11,20,18
Brooklyn,5.01,"1,267",49,69,64,29,24,56,29,22,15,8,18,12,174,306,270,122
Brooklyn,5.02,292,34,40,36,15,14,35,14,25,10,8,7,16,8,10,12,8
Brooklyn,7.0,586,49,112,66,25,22,77,55,44,19,23,25,16,14,15,8,16
Brooklyn,9.0,637,89,121,64,32,19,37,30,28,12,12,13,12,13,45,47,63
Brooklyn,11.0,18,0,3,2,1,0,0,2,2,0,0,1,0,1,3,2,1
Brooklyn,13.0,227,16,29,28,15,14,19,13,3,7,6,4,1,6,12,34,20
Brooklyn,15.0,803,53,86,81,37,27,73,52,55,27,39,30,44,46,59,50,44
Brooklyn,18.0,78,1,0,0,0,0,0,1,0,0,0,1,0,4,13,20,38
Brooklyn,20.0,614,35,54,50,27,30,85,53,42,25,22,27,26,45,31,28,34
Brooklyn,21.0,633,122,182,110,44,22,52,18,18,7,4,7,1,3,10,13,20
Brooklyn,22.0,"1,237",63,130,118,62,50,161,83,88,45,54,60,68,58,66,54,77
Brooklyn,23.0,"1,569",42,114,113,44,48,166,151,161,100,91,83,90,84,100,90,92
Brooklyn,29.01,"1,263",40,106,128,54,49,144,125,109,51,52,85,56,65,65,79,55
Brooklyn,30.0,439,24,39,45,20,14,59,42,36,20,18,24,21,15,19,20,23
Brooklyn,31.0,734,12,25,28,13,11,18,10,12,12,9,6,11,186,195,104,82
Brooklyn,33.0,377,42,65,37,17,14,37,24,20,16,14,10,22,14,17,13,15
Brooklyn,34.0,664,38,77,63,35,29,97,61,48,23,23,33,20,29,25,28,35
Brooklyn,35.0,247,24,28,29,10,10,21,20,15,10,9,12,12,12,11,12,12
Brooklyn,36.0,734,54,93,89,41,30,86,52,46,33,42,32,27,32,33,27,17
Brooklyn,37.0,88,4,3,6,3,0,7,8,4,1,0,0,3,0,7,5,37
Brooklyn,38.0,293,19,33,31,4,20,28,20,21,16,13,16,15,14,17,11,15
Brooklyn,39.0,337,44,56,30,19,13,49,23,18,12,6,6,11,9,11,9,21
Brooklyn,41.0,587,58,75,66,26,27,95,45,63,25,26,14,16,10,17,10,14
Brooklyn,43.0,505,50,70,47,23,24,64,34,38,12,20,7,12,26,32,25,21
Brooklyn,44.0,515,14,32,40,23,28,74,46,62,34,26,26,26,22,22,16,24
Brooklyn,45.0,567,67,82,59,40,25,69,47,51,21,17,26,21,14,7,11,10
Brooklyn,46.0,331,10,31,22,17,14,55,22,39,17,17,8,17,15,13,21,13
Brooklyn,47.0,343,31,63,40,25,23,41,23,19,11,12,8,22,10,2,4,9
Brooklyn,49.0,425,53,71,63,21,25,57,25,20,13,11,11,9,9,11,13,13
Brooklyn,50.0,484,32,57,38,24,33,66,39,50,19,27,22,13,16,11,20,17
Brooklyn,51.0,405,57,50,67,17,26,60,34,24,7,7,4,15,6,8,9,14
Brooklyn,52.01,215,19,34,23,19,5,25,15,15,14,7,8,9,8,6,3,5
Brooklyn,52.02,333,36,46,49,15,17,36,24,18,10,11,13,11,12,8,10,17
Brooklyn,53.0,415,31,49,40,22,13,45,27,35,19,15,17,11,16,18,19,38
Brooklyn,54.0,510,34,57,63,26,30,60,35,35,23,16,28,19,18,11,29,26
Brooklyn,56.01,356,23,44,48,12,19,38,23,23,15,19,11,25,6,18,15,17
Brooklyn,56.02,230,20,35,25,9,14,31,15,19,6,8,14,8,6,8,4,8
Brooklyn,58.0,600,38,55,71,35,28,75,38,59,22,20,25,18,29,25,32,30
Brooklyn,59.0,315,18,27,22,10,21,41,23,37,18,17,10,9,25,17,5,15
Brooklyn,60.0,746,57,97,88,35,33,97,51,52,29,33,21,20,39,29,26,39
Brooklyn,62.0,696,24,76,60,32,38,93,65,50,42,28,36,37,30,26,31,28
