census tract,total,White,   Black/ African American,     American Indian and Alaska Native,      Asian,Native Hawaiian and Other Pacific Islander,  Some Other Race,Two or More Races,Hispanic Origin (of any race)
1.00,522.00,382.00,28.00,0.00,35.00,0.00,10.00,21.00,46.00
2.00,455.00,11.00,17.00,0.00,9.00,0.00,1.00,2.00,415.00
3.01,619.00,485.00,12.00,1.00,26.00,0.00,6.00,57.00,32.00
5.01,395.00,305.00,10.00,0.00,20.00,0.00,2.00,27.00,31.00
5.02,254.00,182.00,6.00,1.00,9.00,0.00,4.00,27.00,25.00
7.00,533.00,389.00,11.00,0.00,29.00,0.00,4.00,50.00,50.00
9.00,469.00,283.00,20.00,0.00,42.00,0.00,9.00,62.00,53.00
11.00,11.00,2.00,1.00,0.00,3.00,0.00,0.00,0.00,5.00
13.00,155.00,91.00,18.00,1.00,24.00,0.00,0.00,7.00,14.00
15.00,604.00,83.00,196.00,2.00,74.00,0.00,1.00,20.00,228.00
18.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00
20.00,476.00,10.00,6.00,3.00,20.00,0.00,1.00,3.00,433.00
21.00,587.00,423.00,5.00,0.00,53.00,0.00,7.00,56.00,43.00
22.00,982.00,68.00,29.00,4.00,81.00,0.00,7.00,20.00,773.00
23.00,1203.00,8.00,640.00,5.00,146.00,0.00,5.00,18.00,381.00
29.01,999.00,15.00,502.00,3.00,103.00,0.00,0.00,20.00,356.00
30.00,362.00,194.00,9.00,0.00,47.00,0.00,0.00,30.00,82.00
31.00,167.00,15.00,78.00,0.00,31.00,0.00,1.00,24.00,18.00
33.00,318.00,101.00,99.00,0.00,10.00,0.00,8.00,31.00,69.00
34.00,547.00,306.00,0.00,0.00,102.00,0.00,0.00,26.00,113.00
35.00,200.00,47.00,97.00,4.00,7.00,0.00,0.00,11.00,34.00
36.00,625.00,330.00,7.00,0.00,137.00,0.00,3.00,26.00,122.00
37.00,39.00,16.00,6.00,0.00,0.00,0.00,0.00,11.00,6.00
38.00,236.00,157.00,2.00,0.00,32.00,0.00,3.00,13.00,29.00
39.00,287.00,136.00,26.00,0.00,25.00,0.00,3.00,24.00,73.00
41.00,536.00,348.00,35.00,0.00,35.00,0.00,6.00,37.00,75.00
43.00,401.00,235.00,23.00,1.00,31.00,0.00,5.00,34.00,72.00
44.00,431.00,368.00,1.00,0.00,32.00,0.00,0.00,2.00,28.00
45.00,525.00,423.00,7.00,0.00,15.00,0.00,4.00,31.00,45.00
46.00,269.00,210.00,5.00,0.00,22.00,0.00,2.00,1.00,29.00
47.00,318.00,152.00,29.00,2.00,19.00,0.00,4.00,37.00,75.00
49.00,379.00,262.00,16.00,0.00,21.00,0.00,4.00,23.00,53.00
50.00,420.00,343.00,0.00,0.00,25.00,0.00,1.00,10.00,41.00
51.00,368.00,196.00,15.00,0.00,25.00,0.00,1.00,28.00,103.00
52.01,193.00,155.00,0.00,1.00,4.00,0.00,0.00,13.00,20.00
52.02,286.00,218.00,1.00,0.00,22.00,0.00,0.00,16.00,29.00
53.00,324.00,131.00,39.00,0.00,3.00,0.00,7.00,14.00,130.00
54.00,426.00,266.00,7.00,0.00,55.00,0.00,0.00,12.00,86.00
56.01,300.00,224.00,0.00,0.00,17.00,1.00,0.00,14.00,44.00
56.02,204.00,146.00,2.00,0.00,24.00,0.00,0.00,7.00,25.00
58.00,484.00,307.00,5.00,3.00,63.00,0.00,3.00,16.00,87.00
