,2010 Census Tract,Wht%,Blc%,Ind%,Asn%,Mix%,His%,20002001_0-4,20002001_5-9,20002001_10-14,20012002_0-4,20012002_5-9,20012002_10-14,20022003_0-4,20022003_5-9,20022003_10-14,20032004_0-4,20032004_5-9,20032004_10-14,20042005_0-4,20042005_5-9,20042005_10-14,20052006_0-4,20052006_5-9,20052006_10-14,20062007_0-4,20062007_5-9,20062007_10-14,20072008_0-4,20072008_5-9,20072008_10-14,20082009_0-4,20082009_5-9,20082009_10-14,20092010_0-4,20092010_5-9,20092010_10-14,20102011_0-4,20102011_5-9,20102011_10-14,20112012_0-4,20112012_5-9,20112012_10-14,20122013_0-4,20122013_5-9,20122013_10-14,20132014_0-4,20132014_5-9,20132014_10-14,20142015_0-4,20142015_5-9,20142015_10-14,20152016_0-4,20152016_5-9,20152016_10-14,20162017_0-4,20162017_5-9,20162017_10-14,20172018_0-4,20172018_5-9,20172018_10-14
0,18.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,-4,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1
1,20.0,0.02100840336134454,0.012605042016806723,0.0063025210084033615,0.04201680672268908,0.0063025210084033615,0.9096638655462185,4,24,27,3,-4,2,3,-3,-1,5,-2,0,3,-2,-2,-5,5,0,-3,-6,-4,3,6,-2,0.0,2.0,-6.0,-16.0,-15.0,-2.0,1,2,2,1,2,3,2,2,2,0,2,3,1,2,2,1,1,0,0,1,0,1,1,0
2,22.0,0.06924643584521385,0.029531568228105907,0.004073319755600814,0.0824847250509165,0.020366598778004074,0.7871690427698574,20,19,-22,7,-8,2,5,-7,-3,12,-5,-1,5,-3,-4,-11,8,0,-5,-12,-9,6,13,-4,3.0,2.0,-12.0,-38.0,-32.0,-4.0,2,4,5,3,5,4,2,4,5,2,5,5,2,4,5,2,1,0,1,0,-1,0,2,-1
3,30.0,0.5359116022099447,0.024861878453038673,0.0,0.1298342541436464,0.08287292817679558,0.2265193370165746,-16,-9,10,2,-3,2,1,-2,-2,5,-2,0,1,-1,-2,-3,3,0,-2,-5,-4,2,5,-2,1.0,1.0,-4.0,-13.0,-10.0,-2.0,1,2,2,1,0,2,0,2,2,2,2,3,0,1,1,1,0,0,0,1,0,0,0,0
4,34.0,0.5594149908592322,0.0,0.0,0.18647166361974407,0.04753199268738574,0.20658135283363802,20,50,30,5,-6,1,2,-5,-2,7,-3,-1,3,-2,-3,-6,5,0,-4,-7,-6,4,6,-2,2.0,3.0,-6.0,-22.0,-17.0,-2.0,1,3,3,1,2,2,2,3,4,1,2,2,1,2,3,1,0,0,0,1,-1,1,1,0
5,36.0,0.528,0.0112,0.0,0.2192,0.0416,0.1952,62,19,-29,5,-4,1,5,-5,-2,8,-3,-1,5,-2,-2,-9,4,0,-4,-6,-5,5,7,-3,2.0,0.0,-8.0,-29.0,-16.0,-1.0,2,2,3,2,3,3,2,2,2,1,3,4,2,3,3,1,0,-1,0,0,0,1,1,-1
6,38.0,0.6652542372881356,0.00847457627118644,0.0,0.13559322033898305,0.05508474576271186,0.1228813559322034,2,-15,-14,2,-2,0,1,-2,-1,4,-1,0,2,0,-1,-4,1,-1,-1,-2,-2,1,1,-2,1.0,2.0,-2.0,-10.0,-6.0,-1.0,1,1,1,0,0,1,1,1,2,0,2,1,1,1,1,1,0,0,0,0,0,0,-1,0
7,44.0,0.8538283062645011,0.002320185614849188,0.0,0.07424593967517401,0.004640371229698376,0.06496519721577726,90,147,167,3,-4,1,0,-5,-2,5,-2,-2,0,-2,-3,-2,3,0,-2,-5,-7,2,5,-3,0.0,2.0,-7.0,-10.0,-14.0,-2.0,0,1,3,1,3,3,1,1,3,0,2,3,1,3,3,0,0,0,1,1,0,0,-1,0
8,46.0,0.7806691449814126,0.01858736059479554,0.0,0.08178438661710037,0.0037174721189591076,0.10780669144981413,1,15,-1,2,-4,1,1,-2,-1,2,-2,-1,1,-1,-2,-2,2,-1,-2,-3,-3,2,3,-1,1.0,1.0,-4.0,-8.0,-9.0,-1.0,0,1,1,1,2,2,1,1,1,0,1,3,0,1,1,1,1,0,0,0,0,0,1,-1
9,50.0,0.8166666666666667,0.0,0.0,0.05952380952380952,0.023809523809523808,0.09761904761904762,1,52,15,3,-4,1,1,-4,-2,5,-2,0,2,-2,-3,-4,3,1,-2,-5,-6,2,6,-1,1.0,1.0,-6.0,-15.0,-13.0,-1.0,0,2,2,1,2,3,1,2,1,1,1,4,2,3,2,0,0,0,1,0,-1,0,0,0
