,,Count of Students,Count of Students,Count of Students,Count of Students,Count of Students,Count of Students,Count of Students,Count of Students,Count of Students,Count of Students
School Year,,20012002,20022003,20032004,20042005,20052006,20062007,20072008,20082009,20092010,20102011
,Grade Level,,,,,,,,,,
18.0,K,0,0,1,0,0,0,0,0,0,0
18.0,1,0,0,0,1,0,0,0,0,0,0
18.0,2,1,0,0,0,1,0,0,0,0,0
18.0,3,0,1,1,0,0,1,0,0,0,0
18.0,4,0,0,1,0,1,0,1,0,0,0
18.0,5,0,0,0,1,0,0,0,1,0,0
20.0,K,4,7,5,3,7,4,8,6,6,4
20.0,1,6,3,7,8,6,7,5,10,6,5
20.0,2,1,5,4,5,10,6,8,6,8,6
20.0,3,5,2,8,5,5,9,6,9,5,10
20.0,4,8,3,3,7,5,4,11,7,9,5
20.0,5,7,6,2,2,8,6,6,11,7,5
22.0,K,49,52,38,40,48,43,31,38,53,49
22.0,1,50,52,56,43,54,48,42,40,42,54
22.0,2,61,55,52,53,44,51,46,42,42,43
22.0,3,50,54,53,49,48,39,49,40,41,47
22.0,4,47,51,54,52,40,47,36,50,42,44
22.0,5,45,48,48,52,49,36,40,33,52,43
30.0,K,16,13,12,17,9,16,15,10,11,16
30.0,1,11,16,12,15,16,4,17,17,11,11
30.0,2,15,12,17,13,16,18,4,17,17,13
30.0,3,21,15,12,19,10,13,19,7,16,16
30.0,4,17,18,14,10,17,13,12,20,7,16
30.0,5,16,14,16,12,10,16,11,14,23,7
34.0,K,13,17,18,20,18,24,27,16,25,27
34.0,1,17,11,19,19,25,23,27,25,19,25
34.0,2,17,14,15,20,21,21,24,27,27,20
34.0,3,23,18,17,15,18,21,20,26,29,27
34.0,4,9,19,17,18,14,14,22,22,27,27
34.0,5,7,9,21,18,19,12,12,23,20,26
36.0,K,19,21,26,22,13,24,21,15,30,30
36.0,1,35,22,26,21,23,20,26,24,19,28
36.0,2,36,38,24,23,19,22,18,21,21,22
36.0,3,30,38,42,27,24,21,20,13,21,23
36.0,4,19,29,33,42,25,27,21,19,12,21
36.0,5,29,17,25,31,40,25,23,22,20,10
38.0,K,9,6,4,6,5,5,7,9,6,9
38.0,1,6,9,7,2,5,6,6,7,9,6
38.0,2,7,7,8,6,1,4,4,8,7,9
38.0,3,6,7,6,7,6,2,4,6,7,7
38.0,4,9,6,7,7,9,6,2,4,4,8
38.0,5,6,10,5,5,6,9,10,2,7,5
44.0,K,9,15,7,9,5,11,13,15,19,16
44.0,1,10,13,18,7,10,4,8,15,14,23
44.0,2,9,11,14,16,7,9,4,8,13,14
44.0,3,12,8,10,12,12,7,7,6,8,13
44.0,4,13,12,11,10,15,12,6,7,10,7
44.0,5,12,13,10,11,9,11,11,7,8,11
46.0,K,7,3,4,5,2,9,13,9,9,6
