,,a_year_before,target,year,Wht%,Blc%,Ind%,Asn%,Mix%,His%,0-4,5-9,10-14
18,K,0,0,20022003,0,0.333333333,0,0,0,0.666666667,0,0,0
18,1,0,0,20022003,0,0.333333333,0,0,0,0.666666667,0,0,0
18,2,1,0,20022003,0,0.333333333,0,0,0,0.666666667,0,0,0
18,3,0,1,20022003,0,0.333333333,0,0,0,0.666666667,0,0,0
18,4,0,0,20022003,0,0.333333333,0,0,0,0.666666667,0,0,0
18,5,0,0,20022003,0,0.333333333,0,0,0,0.666666667,0,0,0
20,K,4,7,20022003,0.021008403,0.012605042,0.006302521,0.042016807,0.006302521,0.909663866,3,-3,-1
20,1,6,3,20022003,0.021008403,0.012605042,0.006302521,0.042016807,0.006302521,0.909663866,3,-3,-1
20,2,1,5,20022003,0.021008403,0.012605042,0.006302521,0.042016807,0.006302521,0.909663866,3,-3,-1
20,3,5,2,20022003,0.021008403,0.012605042,0.006302521,0.042016807,0.006302521,0.909663866,3,-3,-1
20,4,8,3,20022003,0.021008403,0.012605042,0.006302521,0.042016807,0.006302521,0.909663866,3,-3,-1
20,5,7,6,20022003,0.021008403,0.012605042,0.006302521,0.042016807,0.006302521,0.909663866,3,-3,-1
22,K,49,52,20022003,0.069246436,0.029531568,0.00407332,0.082484725,0.020366599,0.787169043,5,-7,-3
22,1,50,52,20022003,0.069246436,0.029531568,0.00407332,0.082484725,0.020366599,0.787169043,5,-7,-3
22,2,61,55,20022003,0.069246436,0.029531568,0.00407332,0.082484725,0.020366599,0.787169043,5,-7,-3
22,3,50,54,20022003,0.069246436,0.029531568,0.00407332,0.082484725,0.020366599,0.787169043,5,-7,-3
22,4,47,51,20022003,0.069246436,0.029531568,0.00407332,0.082484725,0.020366599,0.787169043,5,-7,-3
22,5,45,48,20022003,0.069246436,0.029531568,0.00407332,0.082484725,0.020366599,0.787169043,5,-7,-3
30,K,16,13,20022003,0.535911602,0.024861878,0,0.129834254,0.082872928,0.226519337,1,-2,-2
30,1,11,16,20022003,0.535911602,0.024861878,0,0.129834254,0.082872928,0.226519337,1,-2,-2
30,2,15,12,20022003,0.535911602,0.024861878,0,0.129834254,0.082872928,0.226519337,1,-2,-2
30,3,21,15,20022003,0.535911602,0.024861878,0,0.129834254,0.082872928,0.226519337,1,-2,-2
30,4,17,18,20022003,0.535911602,0.024861878,0,0.129834254,0.082872928,0.226519337,1,-2,-2
30,5,16,14,20022003,0.535911602,0.024861878,0,0.129834254,0.082872928,0.226519337,1,-2,-2
34,K,13,17,20022003,0.559414991,0,0,0.186471664,0.047531993,0.206581353,2,-5,-2
34,1,17,11,20022003,0.559414991,0,0,0.186471664,0.047531993,0.206581353,2,-5,-2
34,2,17,14,20022003,0.559414991,0,0,0.186471664,0.047531993,0.206581353,2,-5,-2
34,3,23,18,20022003,0.559414991,0,0,0.186471664,0.047531993,0.206581353,2,-5,-2
34,4,9,19,20022003,0.559414991,0,0,0.186471664,0.047531993,0.206581353,2,-5,-2
34,5,7,9,20022003,0.559414991,0,0,0.186471664,0.047531993,0.206581353,2,-5,-2
36,K,19,21,20022003,0.528,0.0112,0,0.2192,0.0416,0.1952,5,-5,-2
36,1,35,22,20022003,0.528,0.0112,0,0.2192,0.0416,0.1952,5,-5,-2
36,2,36,38,20022003,0.528,0.0112,0,0.2192,0.0416,0.1952,5,-5,-2
36,3,30,38,20022003,0.528,0.0112,0,0.2192,0.0416,0.1952,5,-5,-2
36,4,19,29,20022003,0.528,0.0112,0,0.2192,0.0416,0.1952,5,-5,-2
36,5,29,17,20022003,0.528,0.0112,0,0.2192,0.0416,0.1952,5,-5,-2
38,K,9,6,20022003,0.665254237,0.008474576,0,0.13559322,0.055084746,0.122881356,1,-2,-1
38,1,6,9,20022003,0.665254237,0.008474576,0,0.13559322,0.055084746,0.122881356,1,-2,-1
38,2,7,7,20022003,0.665254237,0.008474576,0,0.13559322,0.055084746,0.122881356,1,-2,-1
38,3,6,7,20022003,0.665254237,0.008474576,0,0.13559322,0.055084746,0.122881356,1,-2,-1
38,4,9,6,20022003,0.665254237,0.008474576,0,0.13559322,0.055084746,0.122881356,1,-2,-1
38,5,6,10,20022003,0.665254237,0.008474576,0,0.13559322,0.055084746,0.122881356,1,-2,-1
44,K,9,15,20022003,0.853828306,0.002320186,0,0.07424594,0.004640371,0.064965197,0,-5,-2
44,1,10,13,20022003,0.853828306,0.002320186,0,0.07424594,0.004640371,0.064965197,0,-5,-2
44,2,9,11,20022003,0.853828306,0.002320186,0,0.07424594,0.004640371,0.064965197,0,-5,-2
44,3,12,8,20022003,0.853828306,0.002320186,0,0.07424594,0.004640371,0.064965197,0,-5,-2
44,4,13,12,20022003,0.853828306,0.002320186,0,0.07424594,0.004640371,0.064965197,0,-5,-2
44,5,12,13,20022003,0.853828306,0.002320186,0,0.07424594,0.004640371,0.064965197,0,-5,-2
46,K,7,3,20022003,0.780669145,0.018587361,0,0.081784387,0.003717472,0.107806691,1,-2,-1
46,1,6,5,20022003,0.780669145,0.018587361,0,0.081784387,0.003717472,0.107806691,1,-2,-1
46,2,3,5,20022003,0.780669145,0.018587361,0,0.081784387,0.003717472,0.107806691,1,-2,-1
46,3,6,2,20022003,0.780669145,0.018587361,0,0.081784387,0.003717472,0.107806691,1,-2,-1
46,4,3,3,20022003,0.780669145,0.018587361,0,0.081784387,0.003717472,0.107806691,1,-2,-1
46,5,8,4,20022003,0.780669145,0.018587361,0,0.081784387,0.003717472,0.107806691,1,-2,-1
50,K,11,6,20022003,0.816666667,0,0,0.05952381,0.023809524,0.097619048,1,-4,-2
50,1,10,11,20022003,0.816666667,0,0,0.05952381,0.023809524,0.097619048,1,-4,-2
50,2,17,11,20022003,0.816666667,0,0,0.05952381,0.023809524,0.097619048,1,-4,-2
50,3,7,16,20022003,0.816666667,0,0,0.05952381,0.023809524,0.097619048,1,-4,-2
50,4,6,4,20022003,0.816666667,0,0,0.05952381,0.023809524,0.097619048,1,-4,-2
50,5,7,6,20022003,0.816666667,0,0,0.05952381,0.023809524,0.097619048,1,-4,-2
51,K,0,0,20022003,0.532608696,0.04076087,0,0.067934783,0.076086957,0.279891304,3,-2,0
51,1,0,0,20022003,0.532608696,0.04076087,0,0.067934783,0.076086957,0.279891304,3,-2,0
51,2,0,0,20022003,0.532608696,0.04076087,0,0.067934783,0.076086957,0.279891304,3,-2,0
51,3,0,0,20022003,0.532608696,0.04076087,0,0.067934783,0.076086957,0.279891304,3,-2,0
51,4,0,0,20022003,0.532608696,0.04076087,0,0.067934783,0.076086957,0.279891304,3,-2,0
51,5,1,0,20022003,0.532608696,0.04076087,0,0.067934783,0.076086957,0.279891304,3,-2,0
52.01,K,4,7,20022003,0.803108808,0,0.005181347,0.020725389,0.067357513,0.103626943,1,-2,-1
52.01,1,4,4,20022003,0.803108808,0,0.005181347,0.020725389,0.067357513,0.103626943,1,-2,-1
52.01,2,3,4,20022003,0.803108808,0,0.005181347,0.020725389,0.067357513,0.103626943,1,-2,-1
52.01,3,4,3,20022003,0.803108808,0,0.005181347,0.020725389,0.067357513,0.103626943,1,-2,-1
52.01,4,8,4,20022003,0.803108808,0,0.005181347,0.020725389,0.067357513,0.103626943,1,-2,-1
52.01,5,6,9,20022003,0.803108808,0,0.005181347,0.020725389,0.067357513,0.103626943,1,-2,-1
52.02,K,6,4,20022003,0.762237762,0.003496503,0,0.076923077,0.055944056,0.101398601,2,-3,-1
52.02,1,6,7,20022003,0.762237762,0.003496503,0,0.076923077,0.055944056,0.101398601,2,-3,-1
52.02,2,2,4,20022003,0.762237762,0.003496503,0,0.076923077,0.055944056,0.101398601,2,-3,-1
52.02,3,4,5,20022003,0.762237762,0.003496503,0,0.076923077,0.055944056,0.101398601,2,-3,-1
52.02,4,6,8,20022003,0.762237762,0.003496503,0,0.076923077,0.055944056,0.101398601,2,-3,-1
52.02,5,5,6,20022003,0.762237762,0.003496503,0,0.076923077,0.055944056,0.101398601,2,-3,-1
54,K,10,10,20022003,0.624413146,0.016431925,0,0.129107981,0.028169014,0.201877934,3,-3,-2
54,1,14,11,20022003,0.624413146,0.016431925,0,0.129107981,0.028169014,0.201877934,3,-3,-2
54,2,16,11,20022003,0.624413146,0.016431925,0,0.129107981,0.028169014,0.201877934,3,-3,-2
54,3,9,10,20022003,0.624413146,0.016431925,0,0.129107981,0.028169014,0.201877934,3,-3,-2
54,4,13,8,20022003,0.624413146,0.016431925,0,0.129107981,0.028169014,0.201877934,3,-3,-2
