Census Tract,Grade Level,year,target,a_year_before,Wht%,Blc%,Ind%,Asn%,Mix%,His%,0-4,9-May,14-Oct
18,K,20022003,0,0,0,0.333333333,0,0,0,0.666666667,0,0,0
18,1,20022003,0,0,0,0.333333333,0,0,0,0.666666667,0,0,0
18,2,20022003,0,1,0,0.333333333,0,0,0,0.666666667,0,0,0
18,3,20022003,1,0,0,0.333333333,0,0,0,0.666666667,0,0,0
18,4,20022003,0,0,0,0.333333333,0,0,0,0.666666667,0,0,0
18,5,20022003,0,0,0,0.333333333,0,0,0,0.666666667,0,0,0
20,K,20022003,7,4,0.021008403,0.012605042,0.006302521,0.042016807,0.006302521,0.909663866,3,-3,-1
20,1,20022003,3,6,0.021008403,0.012605042,0.006302521,0.042016807,0.006302521,0.909663866,3,-3,-1
20,2,20022003,5,1,0.021008403,0.012605042,0.006302521,0.042016807,0.006302521,0.909663866,3,-3,-1
20,3,20022003,2,5,0.021008403,0.012605042,0.006302521,0.042016807,0.006302521,0.909663866,3,-3,-1
20,4,20022003,3,8,0.021008403,0.012605042,0.006302521,0.042016807,0.006302521,0.909663866,3,-3,-1
20,5,20022003,6,7,0.021008403,0.012605042,0.006302521,0.042016807,0.006302521,0.909663866,3,-3,-1
22,K,20022003,52,49,0.069246436,0.029531568,0.00407332,0.082484725,0.020366599,0.787169043,5,-7,-3
22,1,20022003,52,50,0.069246436,0.029531568,0.00407332,0.082484725,0.020366599,0.787169043,5,-7,-3
22,2,20022003,55,61,0.069246436,0.029531568,0.00407332,0.082484725,0.020366599,0.787169043,5,-7,-3
22,3,20022003,54,50,0.069246436,0.029531568,0.00407332,0.082484725,0.020366599,0.787169043,5,-7,-3
22,4,20022003,51,47,0.069246436,0.029531568,0.00407332,0.082484725,0.020366599,0.787169043,5,-7,-3
22,5,20022003,48,45,0.069246436,0.029531568,0.00407332,0.082484725,0.020366599,0.787169043,5,-7,-3
30,K,20022003,13,16,0.535911602,0.024861878,0,0.129834254,0.082872928,0.226519337,1,-2,-2
30,1,20022003,16,11,0.535911602,0.024861878,0,0.129834254,0.082872928,0.226519337,1,-2,-2
30,2,20022003,12,15,0.535911602,0.024861878,0,0.129834254,0.082872928,0.226519337,1,-2,-2
30,3,20022003,15,21,0.535911602,0.024861878,0,0.129834254,0.082872928,0.226519337,1,-2,-2
30,4,20022003,18,17,0.535911602,0.024861878,0,0.129834254,0.082872928,0.226519337,1,-2,-2
30,5,20022003,14,16,0.535911602,0.024861878,0,0.129834254,0.082872928,0.226519337,1,-2,-2
34,K,20022003,17,13,0.559414991,0,0,0.186471664,0.047531993,0.206581353,2,-5,-2
34,1,20022003,11,17,0.559414991,0,0,0.186471664,0.047531993,0.206581353,2,-5,-2
34,2,20022003,14,17,0.559414991,0,0,0.186471664,0.047531993,0.206581353,2,-5,-2
34,3,20022003,18,23,0.559414991,0,0,0.186471664,0.047531993,0.206581353,2,-5,-2
34,4,20022003,19,9,0.559414991,0,0,0.186471664,0.047531993,0.206581353,2,-5,-2
34,5,20022003,9,7,0.559414991,0,0,0.186471664,0.047531993,0.206581353,2,-5,-2
36,K,20022003,21,19,0.528,0.0112,0,0.2192,0.0416,0.1952,5,-5,-2
36,1,20022003,22,35,0.528,0.0112,0,0.2192,0.0416,0.1952,5,-5,-2
36,2,20022003,38,36,0.528,0.0112,0,0.2192,0.0416,0.1952,5,-5,-2
36,3,20022003,38,30,0.528,0.0112,0,0.2192,0.0416,0.1952,5,-5,-2
36,4,20022003,29,19,0.528,0.0112,0,0.2192,0.0416,0.1952,5,-5,-2
36,5,20022003,17,29,0.528,0.0112,0,0.2192,0.0416,0.1952,5,-5,-2
38,K,20022003,6,9,0.665254237,0.008474576,0,0.13559322,0.055084746,0.122881356,1,-2,-1
38,1,20022003,9,6,0.665254237,0.008474576,0,0.13559322,0.055084746,0.122881356,1,-2,-1
38,2,20022003,7,7,0.665254237,0.008474576,0,0.13559322,0.055084746,0.122881356,1,-2,-1
38,3,20022003,7,6,0.665254237,0.008474576,0,0.13559322,0.055084746,0.122881356,1,-2,-1
38,4,20022003,6,9,0.665254237,0.008474576,0,0.13559322,0.055084746,0.122881356,1,-2,-1
38,5,20022003,10,6,0.665254237,0.008474576,0,0.13559322,0.055084746,0.122881356,1,-2,-1
44,K,20022003,15,9,0.853828306,0.002320186,0,0.07424594,0.004640371,0.064965197,0,-5,-2
44,1,20022003,13,10,0.853828306,0.002320186,0,0.07424594,0.004640371,0.064965197,0,-5,-2
44,2,20022003,11,9,0.853828306,0.002320186,0,0.07424594,0.004640371,0.064965197,0,-5,-2
44,3,20022003,8,12,0.853828306,0.002320186,0,0.07424594,0.004640371,0.064965197,0,-5,-2
44,4,20022003,12,13,0.853828306,0.002320186,0,0.07424594,0.004640371,0.064965197,0,-5,-2
44,5,20022003,13,12,0.853828306,0.002320186,0,0.07424594,0.004640371,0.064965197,0,-5,-2
46,K,20022003,3,7,0.780669145,0.018587361,0,0.081784387,0.003717472,0.107806691,1,-2,-1
46,1,20022003,5,6,0.780669145,0.018587361,0,0.081784387,0.003717472,0.107806691,1,-2,-1
46,2,20022003,5,3,0.780669145,0.018587361,0,0.081784387,0.003717472,0.107806691,1,-2,-1
46,3,20022003,2,6,0.780669145,0.018587361,0,0.081784387,0.003717472,0.107806691,1,-2,-1
46,4,20022003,3,3,0.780669145,0.018587361,0,0.081784387,0.003717472,0.107806691,1,-2,-1
46,5,20022003,4,8,0.780669145,0.018587361,0,0.081784387,0.003717472,0.107806691,1,-2,-1
50,K,20022003,6,11,0.816666667,0,0,0.05952381,0.023809524,0.097619048,1,-4,-2
50,1,20022003,11,10,0.816666667,0,0,0.05952381,0.023809524,0.097619048,1,-4,-2
50,2,20022003,11,17,0.816666667,0,0,0.05952381,0.023809524,0.097619048,1,-4,-2
50,3,20022003,16,7,0.816666667,0,0,0.05952381,0.023809524,0.097619048,1,-4,-2
50,4,20022003,4,6,0.816666667,0,0,0.05952381,0.023809524,0.097619048,1,-4,-2
50,5,20022003,6,7,0.816666667,0,0,0.05952381,0.023809524,0.097619048,1,-4,-2
51,K,20022003,0,0,0.532608696,0.04076087,0,0.067934783,0.076086957,0.279891304,3,-2,0
51,1,20022003,0,0,0.532608696,0.04076087,0,0.067934783,0.076086957,0.279891304,3,-2,0
51,2,20022003,0,0,0.532608696,0.04076087,0,0.067934783,0.076086957,0.279891304,3,-2,0
51,3,20022003,0,0,0.532608696,0.04076087,0,0.067934783,0.076086957,0.279891304,3,-2,0
51,4,20022003,0,0,0.532608696,0.04076087,0,0.067934783,0.076086957,0.279891304,3,-2,0
51,5,20022003,0,1,0.532608696,0.04076087,0,0.067934783,0.076086957,0.279891304,3,-2,0
52.01,K,20022003,7,4,0.803108808,0,0.005181347,0.020725389,0.067357513,0.103626943,1,-2,-1
52.01,1,20022003,4,4,0.803108808,0,0.005181347,0.020725389,0.067357513,0.103626943,1,-2,-1
52.01,2,20022003,4,3,0.803108808,0,0.005181347,0.020725389,0.067357513,0.103626943,1,-2,-1
52.01,3,20022003,3,4,0.803108808,0,0.005181347,0.020725389,0.067357513,0.103626943,1,-2,-1
52.01,4,20022003,4,8,0.803108808,0,0.005181347,0.020725389,0.067357513,0.103626943,1,-2,-1
52.01,5,20022003,9,6,0.803108808,0,0.005181347,0.020725389,0.067357513,0.103626943,1,-2,-1
52.02,K,20022003,4,6,0.762237762,0.003496503,0,0.076923077,0.055944056,0.101398601,2,-3,-1
52.02,1,20022003,7,6,0.762237762,0.003496503,0,0.076923077,0.055944056,0.101398601,2,-3,-1
52.02,2,20022003,4,2,0.762237762,0.003496503,0,0.076923077,0.055944056,0.101398601,2,-3,-1
52.02,3,20022003,5,4,0.762237762,0.003496503,0,0.076923077,0.055944056,0.101398601,2,-3,-1
52.02,4,20022003,8,6,0.762237762,0.003496503,0,0.076923077,0.055944056,0.101398601,2,-3,-1
52.02,5,20022003,6,5,0.762237762,0.003496503,0,0.076923077,0.055944056,0.101398601,2,-3,-1
54,K,20022003,10,10,0.624413146,0.016431925,0,0.129107981,0.028169014,0.201877934,3,-3,-2
54,1,20022003,11,14,0.624413146,0.016431925,0,0.129107981,0.028169014,0.201877934,3,-3,-2
54,2,20022003,11,16,0.624413146,0.016431925,0,0.129107981,0.028169014,0.201877934,3,-3,-2
54,3,20022003,10,9,0.624413146,0.016431925,0,0.129107981,0.028169014,0.201877934,3,-3,-2
54,4,20022003,8,13,0.624413146,0.016431925,0,0.129107981,0.028169014,0.201877934,3,-3,-2
54,5,20022003,9,6,0.624413146,0.016431925,0,0.129107981,0.028169014,0.201877934,3,-3,-2
56.01,K,20022003,8,6,0.746666667,0,0,0.056666667,0.046666667,0.146666667,1,-3,-1
56.01,1,20022003,8,11,0.746666667,0,0,0.056666667,0.046666667,0.146666667,1,-3,-1
56.01,2,20022003,9,8,0.746666667,0,0,0.056666667,0.046666667,0.146666667,1,-3,-1
56.01,3,20022003,6,7,0.746666667,0,0,0.056666667,0.046666667,0.146666667,1,-3,-1
56.01,4,20022003,6,3,0.746666667,0,0,0.056666667,0.046666667,0.146666667,1,-3,-1
56.01,5,20022003,4,6,0.746666667,0,0,0.056666667,0.046666667,0.146666667,1,-3,-1
56.02,K,20022003,4,1,0.715686275,0.009803922,0,0.117647059,0.034313725,0.12254902,1,-2,-1
56.02,1,20022003,2,6,0.715686275,0.009803922,0,0.117647059,0.034313725,0.12254902,1,-2,-1
56.02,2,20022003,5,6,0.715686275,0.009803922,0,0.117647059,0.034313725,0.12254902,1,-2,-1
56.02,3,20022003,4,3,0.715686275,0.009803922,0,0.117647059,0.034313725,0.12254902,1,-2,-1
56.02,4,20022003,2,2,0.715686275,0.009803922,0,0.117647059,0.034313725,0.12254902,1,-2,-1
56.02,5,20022003,1,2,0.715686275,0.009803922,0,0.117647059,0.034313725,0.12254902,1,-2,-1
58,K,20022003,16,16,0.634297521,0.010330579,0.006198347,0.130165289,0.033057851,0.179752066,3,-3,-1
58,1,20022003,19,15,0.634297521,0.010330579,0.006198347,0.130165289,0.033057851,0.179752066,3,-3,-1
58,2,20022003,13,12,0.634297521,0.010330579,0.006198347,0.130165289,0.033057851,0.179752066,3,-3,-1
58,3,20022003,15,15,0.634297521,0.010330579,0.006198347,0.130165289,0.033057851,0.179752066,3,-3,-1
58,4,20022003,14,8,0.634297521,0.010330579,0.006198347,0.130165289,0.033057851,0.179752066,3,-3,-1
58,5,20022003,9,7,0.634297521,0.010330579,0.006198347,0.130165289,0.033057851,0.179752066,3,-3,-1
60,K,20022003,23,21,0.536704731,0.019575856,0,0.132137031,0.045676998,0.264274062,4,-4,-1
60,1,20022003,17,24,0.536704731,0.019575856,0,0.132137031,0.045676998,0.264274062,4,-4,-1
60,2,20022003,21,23,0.536704731,0.019575856,0,0.132137031,0.045676998,0.264274062,4,-4,-1
60,3,20022003,21,19,0.536704731,0.019575856,0,0.132137031,0.045676998,0.264274062,4,-4,-1
60,4,20022003,13,14,0.536704731,0.019575856,0,0.132137031,0.045676998,0.264274062,4,-4,-1
60,5,20022003,13,19,0.536704731,0.019575856,0,0.132137031,0.045676998,0.264274062,4,-4,-1
62,K,20022003,16,26,0.614457831,0.008605852,0,0.168674699,0.04130809,0.165232358,2,-5,-1
62,1,20022003,22,33,0.614457831,0.008605852,0,0.168674699,0.04130809,0.165232358,2,-5,-1
62,2,20022003,35,28,0.614457831,0.008605852,0,0.168674699,0.04130809,0.165232358,2,-5,-1
62,3,20022003,30,34,0.614457831,0.008605852,0,0.168674699,0.04130809,0.165232358,2,-5,-1
62,4,20022003,30,22,0.614457831,0.008605852,0,0.168674699,0.04130809,0.165232358,2,-5,-1
62,5,20022003,19,16,0.614457831,0.008605852,0,0.168674699,0.04130809,0.165232358,2,-5,-1
64,K,20022003,19,22,0.607541899,0.015363128,0,0.097765363,0.025139665,0.231843575,4,-7,-3
64,1,20022003,22,27,0.607541899,0.015363128,0,0.097765363,0.025139665,0.231843575,4,-7,-3
64,2,20022003,28,29,0.607541899,0.015363128,0,0.097765363,0.025139665,0.231843575,4,-7,-3
64,3,20022003,31,23,0.607541899,0.015363128,0,0.097765363,0.025139665,0.231843575,4,-7,-3
64,4,20022003,27,21,0.607541899,0.015363128,0,0.097765363,0.025139665,0.231843575,4,-7,-3
64,5,20022003,20,24,0.607541899,0.015363128,0,0.097765363,0.025139665,0.231843575,4,-7,-3
66,K,20022003,21,32,0.577524893,0.009957326,0,0.088193457,0.048364154,0.271692745,4,-5,-1
66,1,20022003,36,26,0.577524893,0.009957326,0,0.088193457,0.048364154,0.271692745,4,-5,-1
