,School Year,Grade Level,Count of Students
18.0,20012002,2,1
18.0,20082009,5,1
18.0,20072008,4,1
18.0,20062007,3,1
18.0,20052006,2,1
18.0,20042005,5,1
18.0,20052006,4,1
18.0,20032004,4,1
18.0,20032004,3,1
18.0,20032004,K,1
18.0,20022003,3,1
18.0,20042005,1,1
20.0,20072008,4,11
20.0,20082009,1,10
20.0,20082009,K,6
20.0,20072008,5,6
20.0,20072008,3,6
20.0,20062007,2,6
20.0,20072008,K,8
20.0,20062007,5,6
20.0,20062007,4,4
20.0,20062007,3,9
20.0,20082009,2,6
20.0,20072008,1,5
20.0,20082009,3,9
20.0,20092010,3,5
20.0,20082009,5,11
20.0,20092010,K,6
20.0,20092010,1,6
20.0,20092010,2,8
20.0,20062007,1,7
20.0,20092010,4,9
20.0,20092010,5,7
20.0,20102011,K,4
20.0,20102011,1,5
20.0,20102011,2,6
20.0,20102011,3,10
20.0,20102011,4,5
20.0,20102011,5,5
20.0,20082009,4,7
20.0,20062007,K,4
20.0,20072008,2,8
20.0,20052006,4,5
20.0,20052006,5,8
20.0,20012002,1,6
20.0,20012002,2,1
20.0,20012002,3,5
20.0,20012002,4,8
20.0,20012002,5,7
20.0,20022003,K,7
20.0,20022003,1,3
20.0,20022003,2,5
20.0,20022003,3,2
20.0,20022003,4,3
20.0,20022003,5,6
20.0,20032004,K,5
20.0,20032004,1,7
20.0,20012002,K,4
20.0,20032004,3,8
20.0,20032004,2,4
20.0,20052006,2,10
20.0,20052006,1,6
20.0,20052006,K,7
20.0,20042005,5,2
20.0,20042005,4,7
20.0,20052006,3,5
20.0,20042005,2,5
20.0,20042005,1,8
20.0,20042005,K,3
20.0,20032004,5,2
20.0,20042005,3,5
20.0,20032004,4,3
22.0,20062007,2,51
22.0,20082009,1,40
22.0,20082009,K,38
22.0,20072008,5,40
22.0,20072008,4,36
22.0,20072008,3,49
22.0,20072008,K,31
22.0,20072008,1,42
22.0,20062007,5,36
22.0,20062007,4,47
22.0,20062007,3,39
22.0,20082009,2,42
22.0,20072008,2,46
22.0,20082009,3,40
22.0,20092010,4,42
22.0,20082009,5,33
22.0,20092010,K,53
22.0,20092010,1,42
22.0,20092010,2,42
22.0,20092010,3,41
22.0,20092010,5,52
22.0,20102011,K,49
22.0,20102011,1,54
22.0,20102011,2,43
22.0,20102011,3,47
22.0,20102011,4,44
22.0,20102011,5,43
22.0,20062007,1,48
22.0,20082009,4,50
22.0,20062007,K,43
22.0,20022003,2,55
22.0,20052006,4,40
22.0,20052006,5,49
22.0,20012002,K,49
22.0,20012002,1,50
22.0,20012002,2,61
22.0,20012002,3,50
22.0,20012002,4,47
22.0,20012002,5,45
22.0,20022003,K,52
22.0,20022003,3,54
22.0,20022003,4,51
22.0,20022003,5,48
22.0,20032004,K,38
22.0,20032004,1,56
22.0,20022003,1,52
22.0,20032004,3,53
22.0,20052006,3,48
22.0,20032004,2,52
22.0,20052006,1,54
22.0,20052006,K,48
22.0,20042005,5,52
22.0,20042005,4,52
22.0,20042005,3,49
22.0,20052006,2,44
22.0,20042005,1,43
22.0,20042005,K,40
22.0,20032004,5,48
22.0,20032004,4,54
22.0,20042005,2,53
30.0,20082009,2,17
30.0,20082009,1,17
30.0,20082009,K,10
30.0,20072008,5,11
30.0,20072008,4,12
30.0,20072008,3,19
30.0,20072008,K,15
30.0,20072008,1,17
30.0,20062007,5,16
30.0,20062007,4,13
30.0,20062007,3,13
30.0,20062007,2,18
30.0,20072008,2,4
30.0,20082009,3,7
30.0,20102011,5,7
30.0,20082009,5,14
30.0,20092010,K,11
30.0,20092010,1,11
30.0,20092010,2,17
30.0,20092010,3,16
30.0,20092010,4,7
30.0,20092010,5,23
30.0,20102011,K,16
30.0,20102011,1,11
30.0,20102011,2,13
30.0,20102011,3,16
30.0,20102011,4,16
30.0,20062007,1,4
30.0,20082009,4,20
30.0,20062007,K,16
30.0,20022003,2,12
30.0,20052006,4,17
30.0,20012002,K,16
30.0,20012002,1,11
30.0,20012002,2,15
30.0,20012002,3,21
30.0,20012002,4,17
30.0,20012002,5,16
30.0,20022003,K,13
30.0,20022003,1,16
30.0,20022003,3,15
30.0,20022003,4,18
30.0,20022003,5,14
30.0,20032004,K,12
30.0,20032004,1,12
30.0,20052006,5,10
30.0,20032004,3,12
30.0,20032004,2,17
30.0,20052006,2,16
30.0,20052006,1,16
30.0,20052006,K,9
30.0,20042005,5,12
30.0,20042005,4,10
30.0,20052006,3,10
30.0,20042005,2,13
30.0,20042005,1,15
30.0,20042005,K,17
30.0,20032004,5,16
30.0,20032004,4,14
30.0,20042005,3,19
34.0,20082009,K,16
34.0,20072008,5,12
34.0,20072008,4,22
34.0,20072008,3,20
34.0,20072008,2,24
34.0,20062007,5,12
34.0,20072008,K,27
34.0,20062007,4,14
34.0,20062007,3,21
34.0,20062007,2,21
34.0,20082009,1,25
34.0,20062007,1,23
34.0,20072008,1,27
34.0,20082009,2,27
34.0,20092010,3,29
34.0,20082009,4,22
34.0,20082009,5,23
34.0,20092010,K,25
34.0,20092010,1,19
34.0,20092010,2,27
34.0,20092010,4,27
34.0,20092010,5,20
34.0,20102011,K,27
34.0,20102011,1,25
34.0,20102011,2,20
34.0,20102011,3,27
34.0,20062007,K,24
34.0,20102011,5,26
34.0,20082009,3,26
34.0,20102011,4,27
34.0,20052006,5,19
34.0,20052006,3,18
34.0,20052006,4,14
34.0,20012002,K,13
34.0,20012002,1,17
34.0,20012002,2,17
34.0,20012002,3,23
34.0,20012002,4,9
34.0,20012002,5,7
34.0,20022003,K,17
34.0,20022003,2,14
34.0,20022003,3,18
34.0,20022003,4,19
34.0,20022003,5,9
34.0,20032004,K,18
34.0,20022003,1,11
34.0,20032004,2,15
34.0,20032004,1,19
34.0,20052006,1,25
34.0,20052006,K,18
34.0,20042005,5,18
34.0,20042005,4,18
34.0,20042005,3,15
34.0,20052006,2,21
34.0,20042005,1,19
34.0,20042005,K,20
34.0,20032004,5,21
34.0,20032004,4,17
34.0,20032004,3,17
34.0,20042005,2,20
36.0,20082009,K,15
36.0,20072008,5,23
36.0,20072008,4,21
36.0,20072008,3,20
36.0,20072008,2,18
36.0,20062007,5,25
36.0,20072008,K,21
36.0,20062007,4,27
36.0,20062007,3,21
36.0,20062007,2,22
36.0,20082009,1,24
36.0,20072008,1,26
36.0,20082009,2,21
36.0,20062007,1,20
36.0,20082009,4,19
36.0,20082009,5,22
36.0,20092010,K,30
36.0,20092010,1,19
36.0,20092010,2,21
36.0,20092010,3,21
36.0,20092010,4,12
36.0,20102011,K,30
36.0,20102011,1,28
36.0,20102011,2,22
36.0,20102011,3,23
36.0,20102011,4,21
36.0,20102011,5,10
36.0,20082009,3,13
36.0,20062007,K,24
36.0,20092010,5,20
36.0,20052006,4,25
36.0,20012002,1,35
36.0,20012002,2,36
36.0,20012002,3,30
36.0,20012002,4,19
36.0,20012002,5,29
36.0,20052006,5,40
36.0,20022003,K,21
36.0,20022003,1,22
36.0,20022003,2,38
36.0,20022003,3,38
36.0,20022003,4,29
36.0,20022003,5,17
36.0,20032004,K,26
36.0,20032004,1,26
36.0,20012002,K,19
36.0,20032004,3,42
36.0,20032004,2,24
36.0,20052006,3,24
36.0,20052006,2,19
36.0,20052006,1,23
36.0,20042005,5,31
36.0,20042005,4,42
36.0,20052006,K,13
36.0,20042005,2,23
36.0,20042005,1,21
36.0,20042005,K,22
36.0,20032004,5,25
36.0,20032004,4,33
36.0,20042005,3,27
38.0,20072008,3,4
38.0,20082009,K,9
38.0,20072008,5,10
38.0,20072008,4,2
38.0,20072008,2,4
38.0,20062007,2,4
38.0,20072008,K,7
38.0,20062007,5,9
38.0,20062007,4,6
38.0,20062007,3,2
38.0,20082009,1,7
38.0,20072008,1,6
38.0,20082009,2,8
38.0,20092010,3,7
38.0,20082009,4,4
38.0,20082009,5,2
38.0,20092010,K,6
38.0,20092010,1,9
38.0,20092010,2,7
38.0,20092010,4,4
38.0,20092010,5,7
38.0,20102011,K,9
38.0,20102011,1,6
38.0,20102011,2,9
38.0,20102011,3,7
38.0,20102011,4,8
38.0,20062007,1,6
38.0,20082009,3,6
38.0,20062007,K,5
38.0,20102011,5,5
38.0,20052006,4,9
38.0,20012002,K,9
38.0,20012002,1,6
38.0,20012002,2,7
38.0,20012002,3,6
38.0,20012002,4,9
38.0,20012002,5,6
38.0,20022003,K,6
38.0,20022003,1,9
38.0,20022003,2,7
38.0,20022003,3,7
38.0,20022003,4,6
38.0,20022003,5,10
38.0,20032004,K,4
38.0,20032004,1,7
38.0,20052006,5,6
38.0,20032004,3,6
38.0,20052006,3,6
38.0,20052006,2,1
38.0,20052006,1,5
38.0,20032004,2,8
38.0,20042005,5,5
38.0,20042005,4,7
38.0,20052006,K,5
38.0,20042005,2,6
38.0,20042005,1,2
38.0,20042005,K,6
38.0,20032004,5,5
38.0,20032004,4,7
38.0,20042005,3,7
44.0,20082009,K,15
44.0,20072008,5,11
44.0,20072008,4,6
44.0,20072008,3,7
44.0,20072008,2,4
44.0,20062007,1,4
44.0,20072008,K,13
44.0,20062007,5,11
44.0,20062007,4,12
44.0,20062007,3,7
44.0,20062007,2,9
44.0,20082009,1,15
44.0,20072008,1,8
44.0,20082009,2,8
44.0,20092010,3,8
44.0,20082009,4,7
44.0,20082009,5,7
44.0,20092010,K,19
44.0,20092010,1,14
44.0,20092010,2,13
44.0,20092010,4,10
44.0,20092010,5,8
44.0,20102011,K,16
44.0,20102011,1,23
44.0,20102011,2,14
44.0,20102011,3,13
44.0,20102011,4,7
44.0,20062007,K,11
44.0,20082009,3,6
44.0,20102011,5,11
44.0,20052006,5,9
44.0,20052006,3,12
44.0,20052006,4,15
44.0,20012002,K,9
44.0,20012002,1,10
44.0,20012002,2,9
44.0,20012002,3,12
44.0,20012002,4,13
44.0,20012002,5,12
44.0,20022003,1,13
44.0,20022003,2,11
44.0,20022003,3,8
44.0,20022003,4,12
44.0,20022003,5,13
44.0,20032004,K,7
44.0,20022003,K,15
44.0,20032004,2,14
44.0,20052006,2,7
44.0,20032004,1,18
44.0,20052006,1,10
44.0,20052006,K,5
44.0,20042005,5,11
44.0,20042005,3,12
44.0,20042005,4,10
44.0,20042005,1,7
44.0,20042005,K,9
44.0,20032004,5,10
44.0,20032004,4,11
44.0,20032004,3,10
44.0,20042005,2,16
46.0,20082009,1,12
46.0,20072008,3,4
46.0,20082009,K,9
46.0,20072008,5,2
46.0,20072008,4,5
46.0,20072008,2,2
46.0,20062007,2,5
46.0,20072008,K,13
46.0,20062007,5,8
46.0,20062007,4,2
46.0,20062007,3,6
46.0,20082009,2,9
46.0,20072008,1,10
46.0,20102011,5,9
46.0,20102011,4,9
46.0,20082009,4,4
46.0,20082009,5,5
46.0,20092010,K,9
46.0,20092010,1,9
46.0,20092010,2,16
46.0,20092010,3,10
46.0,20092010,4,8
46.0,20092010,5,6
46.0,20102011,K,6
46.0,20102011,1,11
46.0,20102011,2,9
46.0,20102011,3,17
46.0,20062007,1,4
46.0,20082009,3,3
46.0,20062007,K,9
46.0,20032004,2,6
46.0,20052006,4,7
46.0,20012002,K,7
46.0,20012002,1,6
46.0,20012002,2,3
46.0,20012002,3,6
46.0,20012002,4,3
46.0,20012002,5,8
46.0,20022003,K,3
46.0,20022003,2,5
46.0,20022003,3,2
46.0,20022003,4,3
46.0,20022003,5,4
46.0,20032004,K,4
46.0,20032004,1,3
46.0,20022003,1,5
46.0,20032004,4,3
46.0,20032004,3,3
46.0,20052006,3,3
46.0,20052006,2,4
46.0,20052006,1,3
46.0,20052006,K,2
46.0,20042005,5,2
46.0,20052006,5,2
46.0,20042005,3,6
46.0,20042005,2,3
46.0,20042005,1,4
46.0,20042005,K,5
46.0,20032004,5,3
46.0,20042005,4,3
50.0,20082009,1,10
50.0,20082009,K,15
50.0,20072008,5,4
50.0,20072008,4,7
50.0,20072008,3,4
50.0,20072008,K,11
50.0,20072008,1,15
50.0,20062007,5,11
50.0,20062007,4,6
50.0,20062007,3,8
50.0,20082009,2,17
50.0,20072008,2,9
50.0,20062007,2,6
50.0,20102011,5,13
50.0,20082009,5,7
50.0,20092010,K,20
50.0,20092010,1,17
50.0,20092010,2,13
50.0,20092010,3,19
50.0,20092010,4,15
50.0,20092010,5,13
50.0,20102011,K,12
50.0,20102011,1,24
50.0,20102011,2,19
50.0,20102011,3,12
50.0,20102011,4,20
50.0,20062007,1,9
50.0,20082009,4,4
50.0,20062007,K,17
50.0,20082009,3,9
50.0,20052006,4,11
50.0,20012002,K,11
50.0,20012002,1,10
50.0,20012002,2,17
50.0,20012002,3,7
50.0,20012002,4,6
50.0,20012002,5,7
50.0,20022003,K,6
50.0,20022003,2,11
50.0,20022003,3,16
50.0,20022003,4,4
50.0,20022003,5,6
50.0,20032004,K,9
50.0,20032004,1,4
50.0,20022003,1,11
50.0,20032004,3,10
50.0,20032004,2,9
50.0,20052006,2,8
50.0,20052006,1,10
50.0,20052006,K,8
50.0,20042005,5,16
50.0,20042005,4,9
50.0,20052006,3,7
50.0,20052006,5,9
50.0,20042005,2,4
50.0,20042005,1,8
50.0,20042005,K,7
50.0,20032004,5,5
50.0,20032004,4,17
50.0,20042005,3,10
51.0,20012002,5,1
52.01,20082009,1,7
52.01,20082009,K,3
52.01,20072008,5,7
52.01,20072008,4,7
52.01,20072008,3,1
52.01,20082009,2,4
52.01,20072008,1,6
52.01,20072008,K,6
52.01,20062007,4,8
52.01,20062007,3,5
52.01,20072008,2,3
52.01,20062007,5,3
52.01,20102011,4,7
52.01,20082009,4,1
52.01,20082009,5,6
52.01,20092010,K,13
52.01,20092010,1,4
52.01,20092010,2,8
52.01,20092010,3,6
52.01,20092010,4,8
52.01,20092010,5,3
52.01,20102011,K,7
52.01,20102011,1,10
52.01,20102011,2,4
52.01,20102011,3,7
52.01,20062007,2,3
52.01,20082009,3,3
52.01,20062007,1,4
52.01,20032004,3,3
52.01,20052006,5,5
52.01,20102011,5,9
52.01,20012002,2,3
52.01,20012002,3,4
52.01,20012002,4,8
52.01,20012002,5,6
52.01,20022003,K,7
52.01,20022003,1,4
52.01,20022003,2,4
52.01,20022003,3,3
52.01,20022003,4,4
52.01,20022003,5,9
52.01,20032004,K,5
52.01,20032004,1,8
52.01,20032004,2,3
52.01,20032004,4,5
52.01,20032004,5,5
52.01,20042005,K,3
52.01,20042005,1,5
52.01,20042005,2,8
52.01,20042005,3,3
52.01,20042005,4,3
52.01,20042005,5,5
52.01,20052006,K,3
52.01,20052006,1,3
52.01,20052006,2,4
52.01,20052006,3,7
52.01,20052006,4,3
52.01,20062007,K,4
52.01,20012002,1,4
52.01,20012002,K,4
52.02,20102011,5,10
52.02,20052006,2,7
52.02,20052006,1,7
52.02,20052006,K,8
52.02,20042005,5,5
52.02,20042005,4,7
52.02,20042005,3,2
52.02,20042005,2,5
52.02,20042005,1,10
52.02,20042005,K,8
52.02,20032004,5,7
52.02,20032004,4,8
52.02,20032004,3,5
52.02,20032004,2,5
52.02,20032004,1,5
52.02,20032004,K,8
52.02,20022003,5,6
52.02,20022003,4,8
52.02,20022003,3,5
52.02,20022003,2,4
52.02,20022003,1,7
52.02,20022003,K,4
52.02,20012002,5,5
52.02,20012002,4,6
52.02,20012002,3,4
52.02,20012002,2,2
52.02,20052006,3,3
52.02,20052006,4,3
52.02,20052006,5,5
52.02,20062007,K,8
52.02,20102011,2,15
52.02,20102011,1,13
52.02,20102011,K,17
52.02,20092010,5,5
52.02,20092010,4,10
